"Step","8agents_0highspeed - Training_Reward_Mean","8agents_0highspeed - Training_Reward_Mean__MIN","8agents_0highspeed - Training_Reward_Mean__MAX","8agents_0incentive - Training_Reward_Mean","8agents_0incentive - Training_Reward_Mean__MIN","8agents_0incentive - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"903","114.72064089304125","114.72064089304125","114.72064089304125","36.051958296293904","36.051958296293904","36.051958296293904","30.63603023985516","30.63603023985516","30.63603023985516"
"904","114.48082344730338","114.48082344730338","114.48082344730338","36.421582748723296","36.421582748723296","36.421582748723296","30.643080136955913","30.643080136955913","30.643080136955913"
"905","116.73814300471626","116.73814300471626","116.73814300471626","35.39128649345694","35.39128649345694","35.39128649345694","30.619702696713645","30.619702696713645","30.619702696713645"
"906","119.03933169178373","119.03933169178373","119.03933169178373","35.403945410063564","35.403945410063564","35.403945410063564","33.0090624338813","33.0090624338813","33.0090624338813"
"908","116.80696173772112","116.80696173772112","116.80696173772112","35.42396691910293","35.42396691910293","35.42396691910293","30.630057018080326","30.630057018080326","30.630057018080326"
"909","116.76441564589928","116.76441564589928","116.76441564589928","34.35835215160267","34.35835215160267","34.35835215160267","30.613278291734247","30.613278291734247","30.613278291734247"
"910","116.8076136795598","116.8076136795598","116.8076136795598","34.46029698440669","34.46029698440669","34.46029698440669","30.617428827439582","30.617428827439582","30.617428827439582"
"911","114.72612421054959","114.72612421054959","114.72612421054959","34.48897180953502","34.48897180953502","34.48897180953502","30.63045153808652","30.63045153808652","30.63045153808652"
"912","116.65342090461057","116.65342090461057","116.65342090461057","34.536906691910794","34.536906691910794","34.536906691910794","30.600318953402557","30.600318953402557","30.600318953402557"
"913","116.6969220588131","116.6969220588131","116.6969220588131","33.37744121796241","33.37744121796241","33.37744121796241","32.83526404493728","32.83526404493728","32.83526404493728"
"914","114.55089615571549","114.55089615571549","114.55089615571549","33.36614708435131","33.36614708435131","33.36614708435131","32.82006166685505","32.82006166685505","32.82006166685505"
"915","114.54497436908613","114.54497436908613","114.54497436908613","33.12808734768255","33.12808734768255","33.12808734768255","32.77614390305037","32.77614390305037","32.77614390305037"
"916","114.54518230111965","114.54518230111965","114.54518230111965","33.950579062359616","33.950579062359616","33.950579062359616","32.78131141494077","32.78131141494077","32.78131141494077"
"917","112.280657401969","112.280657401969","112.280657401969","33.959571631954674","33.959571631954674","33.959571631954674","32.76716906155368","32.76716906155368","32.76716906155368"
"918","110.18649964642086","110.18649964642086","110.18649964642086","33.937406248881985","33.937406248881985","33.937406248881985","32.76416974977933","32.76416974977933","32.76416974977933"
"919","110.182541717387","110.182541717387","110.182541717387","34.87169783172167","34.87169783172167","34.87169783172167","32.76904306269115","32.76904306269115","32.76904306269115"
"920","110.18247395684227","110.18247395684227","110.18247395684227","34.935129062572145","34.935129062572145","34.935129062572145","32.77003787327715","32.77003787327715","32.77003787327715"
"921","110.17694722699112","110.17694722699112","110.17694722699112","35.061857929076034","35.061857929076034","35.061857929076034","30.39853692266156","30.39853692266156","30.39853692266156"
"922","110.17695054979573","110.17695054979573","110.17695054979573","34.49369343911608","34.49369343911608","34.49369343911608","30.400853968638813","30.400853968638813","30.400853968638813"
"923","107.93311802352503","107.93311802352503","107.93311802352503","33.558462917211415","33.558462917211415","33.558462917211415","30.374309276614863","30.374309276614863","30.374309276614863"
"924","107.88720087218039","107.88720087218039","107.88720087218039","32.391495183278955","32.391495183278955","32.391495183278955","32.73587419968638","32.73587419968638","32.73587419968638"
"925","110.13282737997329","110.13282737997329","110.13282737997329","31.41303119016358","31.41303119016358","31.41303119016358","35.09705830407702","35.09705830407702","35.09705830407702"
"926","110.12949268619806","110.12949268619806","110.12949268619806","31.34129147884719","31.34129147884719","31.34129147884719","35.01117916607019","35.01117916607019","35.01117916607019"
"927","110.12969317332619","110.12969317332619","110.12969317332619","31.37922780114654","31.37922780114654","31.37922780114654","35.01385421294142","35.01385421294142","35.01385421294142"
"928","107.85945836429188","107.85945836429188","107.85945836429188","30.473419310519965","30.473419310519965","30.473419310519965","32.75306635094724","32.75306635094724","32.75306635094724"
"929","105.64996187592645","105.64996187592645","105.64996187592645","30.436679752489194","30.436679752489194","30.436679752489194","35.11460056398008","35.11460056398008","35.11460056398008"
"930","105.64911114361985","105.64911114361985","105.64911114361985","30.430598117783976","30.430598117783976","30.430598117783976","37.46112287349431","37.46112287349431","37.46112287349431"
"931","105.64973632097012","105.64973632097012","105.64973632097012","31.39527822070232","31.39527822070232","31.39527822070232","37.45647223380669","37.45647223380669","37.45647223380669"
"932","103.72562774721969","103.72562774721969","103.72562774721969","32.072667703343406","32.072667703343406","32.072667703343406","39.81835062002038","39.81835062002038","39.81835062002038"
"933","101.36416395248261","101.36416395248261","101.36416395248261","32.26288235456477","32.26288235456477","32.26288235456477","42.065441320182885","42.065441320182885","42.065441320182885"
"934","99.59548270889148","99.59548270889148","99.59548270889148","32.27205329255086","32.27205329255086","32.27205329255086","42.05040452133844","42.05040452133844","42.05040452133844"
"935","99.54760415550003","99.54760415550003","99.54760415550003","31.008701890251277","31.008701890251277","31.008701890251277","42.51220667509192","42.51220667509192","42.51220667509192"
"936","101.88841421641942","101.88841421641942","101.88841421641942","30.258768612337263","30.258768612337263","30.258768612337263","44.67471799922335","44.67471799922335","44.67471799922335"
"937","104.1860811516313","104.1860811516313","104.1860811516313","29.290365532192762","29.290365532192762","29.290365532192762","42.310289183855964","42.310289183855964","42.310289183855964"
"938","106.15575027497447","106.15575027497447","106.15575027497447","28.424903051286496","28.424903051286496","28.424903051286496","44.67067977822239","44.67067977822239","44.67067977822239"
"939","104.27766293760561","104.27766293760561","104.27766293760561","28.38162019281193","28.38162019281193","28.38162019281193","44.67671707961364","44.67671707961364","44.67671707961364"
"940","104.22849047445969","104.22849047445969","104.22849047445969","28.47040515143559","28.47040515143559","28.47040515143559","47.04944062674779","47.04944062674779","47.04944062674779"
"941","106.56841952180439","106.56841952180439","106.56841952180439","28.475219197907553","28.475219197907553","28.475219197907553","49.40788647008265","49.40788647008265","49.40788647008265"
"942","108.53908474965479","108.53908474965479","108.53908474965479","28.022526853652586","28.022526853652586","28.022526853652586","49.61753147746991","49.61753147746991","49.61753147746991"
"943","109.2284021127221","109.2284021127221","109.2284021127221","28.965614945069305","28.965614945069305","28.965614945069305","52.4939666936284","52.4939666936284","52.4939666936284"
"944","111.24050023521126","111.24050023521126","111.24050023521126","28.077794935028837","28.077794935028837","28.077794935028837","52.48943400699847","52.48943400699847","52.48943400699847"
"945","113.18901346460574","113.18901346460574","113.18901346460574","28.081580619555066","28.081580619555066","28.081580619555066","52.49765379142479","52.49765379142479","52.49765379142479"
"946","115.10576596465506","115.10576596465506","115.10576596465506","26.958225916929273","26.958225916929273","26.958225916929273","52.4959823048666","52.4959823048666","52.4959823048666"
"947","115.15130429098906","115.15130429098906","115.15130429098906","26.041904256121875","26.041904256121875","26.041904256121875","52.48863483382254","52.48863483382254","52.48863483382254"
"948","115.09641180971421","115.09641180971421","115.09641180971421","26.237989428071145","26.237989428071145","26.237989428071145","52.48495284990294","52.48495284990294","52.48495284990294"
"949","117.83715581581824","117.83715581581824","117.83715581581824","27.226280766405306","27.226280766405306","27.226280766405306","52.27316823022216","52.27316823022216","52.27316823022216"
"950","118.4565883813097","118.4565883813097","118.4565883813097","27.95101807281701","27.95101807281701","27.95101807281701","52.27423916881273","52.27423916881273","52.27423916881273"
"951","120.79867144790907","120.79867144790907","120.79867144790907","28.318538312555944","28.318538312555944","28.318538312555944","52.279075493411895","52.279075493411895","52.279075493411895"
"952","120.64698746262656","120.64698746262656","120.64698746262656","28.156355074722015","28.156355074722015","28.156355074722015","52.27605261304845","52.27605261304845","52.27605261304845"
"953","122.92463859304561","122.92463859304561","122.92463859304561","27.798264867687426","27.798264867687426","27.798264867687426","49.92073555144242","49.92073555144242","49.92073555144242"
"954","125.29841205479221","125.29841205479221","125.29841205479221","27.661807234473837","27.661807234473837","27.661807234473837","49.919184001989215","49.919184001989215","49.919184001989215"
"955","125.28656223566804","125.28656223566804","125.28656223566804","27.703810024779205","27.703810024779205","27.703810024779205","49.91189858022017","49.91189858022017","49.91189858022017"
"956","125.28656312763096","125.28656312763096","125.28656312763096","26.50235466175617","26.50235466175617","26.50235466175617","49.92436130886044","49.92436130886044","49.92436130886044"
"957","123.10137532691765","123.10137532691765","123.10137532691765","25.64515144311297","25.64515144311297","25.64515144311297","47.54590753303485","47.54590753303485","47.54590753303485"
"958","123.06008557468806","123.06008557468806","123.06008557468806","25.71805161101217","25.71805161101217","25.71805161101217","47.54367923564922","47.54367923564922","47.54367923564922"
"959","125.03678366702837","125.03678366702837","125.03678366702837","25.747667971399725","25.747667971399725","25.747667971399725","47.51778916248164","47.51778916248164","47.51778916248164"
"960","125.0341108610974","125.0341108610974","125.0341108610974","24.78297527282267","24.78297527282267","24.78297527282267","45.1622246547229","45.1622246547229","45.1622246547229"
"961","125.03489860222025","125.03489860222025","125.03489860222025","25.03708419253519","25.03708419253519","25.03708419253519","45.17022699741601","45.17022699741601","45.17022699741601"
"962","123.12868242483847","123.12868242483847","123.12868242483847","24.066282455276156","24.066282455276156","24.066282455276156","45.171102926719676","45.171102926719676","45.171102926719676"
"963","121.20884025040272","121.20884025040272","121.20884025040272","23.132369278785568","23.132369278785568","23.132369278785568","45.182549472567196","45.182549472567196","45.182549472567196"
"964","119.29728112916204","119.29728112916204","119.29728112916204","22.240446453283923","22.240446453283923","22.240446453283923","45.17651489389211","45.17651489389211","45.17651489389211"
"965","119.25428328379985","119.25428328379985","119.25428328379985","21.484843542690164","21.484843542690164","21.484843542690164","45.1776320010865","45.1776320010865","45.1776320010865"
"966","119.30428261295273","119.30428261295273","119.30428261295273","21.460995134510892","21.460995134510892","21.460995134510892","42.9452482773755","42.9452482773755","42.9452482773755"
"967","117.01837418229611","117.01837418229611","117.01837418229611","20.679035251230495","20.679035251230495","20.679035251230495","45.29856386263013","45.29856386263013","45.29856386263013"
"968","119.28517701831016","119.28517701831016","119.28517701831016","20.769682387810906","20.769682387810906","20.769682387810906","47.6577581805611","47.6577581805611","47.6577581805611"
"969","119.32665424213135","119.32665424213135","119.32665424213135","19.851237194749924","19.851237194749924","19.851237194749924","47.66190498864903","47.66190498864903","47.66190498864903"
"970","119.26909399251146","119.26909399251146","119.26909399251146","18.90755571579446","18.90755571579446","18.90755571579446","47.702277494170076","47.702277494170076","47.702277494170076"
"971","121.58539097959903","121.58539097959903","121.58539097959903","19.489053583243745","19.489053583243745","19.489053583243745","47.65916492109754","47.65916492109754","47.65916492109754"
"972","123.48467441564848","123.48467441564848","123.48467441564848","19.53311339302522","19.53311339302522","19.53311339302522","50.01564239106918","50.01564239106918","50.01564239106918"
"973","123.5279411304578","123.5279411304578","123.5279411304578","19.58087135223465","19.58087135223465","19.58087135223465","47.65376352103397","47.65376352103397","47.65376352103397"
"974","123.47117402991925","123.47117402991925","123.47117402991925","19.585451836697345","19.585451836697345","19.585451836697345","47.61233179136399","47.61233179136399","47.61233179136399"
"975","123.5183942472383","123.5183942472383","123.5183942472383","18.735437467337377","18.735437467337377","18.735437467337377","47.620144952640175","47.620144952640175","47.620144952640175"
"976","123.47078305368203","123.47078305368203","123.47078305368203","19.526497094162806","19.526497094162806","19.526497094162806","47.615025724261194","47.615025724261194","47.615025724261194"
"977","125.41420527996922","125.41420527996922","125.41420527996922","20.550470942882793","20.550470942882793","20.550470942882793","45.2544436049611","45.2544436049611","45.2544436049611"
"978","127.69807099631717","127.69807099631717","127.69807099631717","19.6516965606019","19.6516965606019","19.6516965606019","45.25361632396121","45.25361632396121","45.25361632396121"
"979","129.64931375978574","129.64931375978574","129.64931375978574","18.776500808576046","18.776500808576046","18.776500808576046","42.91649492457029","42.91649492457029","42.91649492457029"
"980","129.41577812359913","129.41577812359913","129.41577812359913","19.04473188673128","19.04473188673128","19.04473188673128","42.899220671156826","42.899220671156826","42.899220671156826"
"981","129.92113108156764","129.92113108156764","129.92113108156764","19.084071678638484","19.084071678638484","19.084071678638484","42.869275767823794","42.869275767823794","42.869275767823794"
"982","131.81423137851775","131.81423137851775","131.81423137851775","18.822829037710687","18.822829037710687","18.822829037710687","45.247805235712036","45.247805235712036","45.247805235712036"
"983","134.12727166112694","134.12727166112694","134.12727166112694","19.13465441046247","19.13465441046247","19.13465441046247","45.26026995145809","45.26026995145809","45.26026995145809"
"984","134.28571032596068","134.28571032596068","134.28571032596068","19.030024306474115","19.030024306474115","19.030024306474115","45.22762788947415","45.22762788947415","45.22762788947415"
"985","134.5938019778939","134.5938019778939","134.5938019778939","18.47849261966951","18.47849261966951","18.47849261966951","45.230419096126724","45.230419096126724","45.230419096126724"
"986","134.5677031911536","134.5677031911536","134.5677031911536","18.390670674207396","18.390670674207396","18.390670674207396","45.23328797317097","45.23328797317097","45.23328797317097"
"987","134.5673987176875","134.5673987176875","134.5673987176875","18.16705295821401","18.16705295821401","18.16705295821401","47.56174264267835","47.56174264267835","47.56174264267835"
"988","132.35637824447159","132.35637824447159","132.35637824447159","19.360123745778527","19.360123745778527","19.360123745778527","47.56400910351552","47.56400910351552","47.56400910351552"
"989","132.31109182754042","132.31109182754042","132.31109182754042","19.40226222532042","19.40226222532042","19.40226222532042","47.56771327347022","47.56771327347022","47.56771327347022"
"990","134.53018350344496","134.53018350344496","134.53018350344496","19.317262149545392","19.317262149545392","19.317262149545392","47.57166959130619","47.57166959130619","47.57166959130619"
"991","132.36708837808465","132.36708837808465","132.36708837808465","19.276676691626463","19.276676691626463","19.276676691626463","49.93296142016064","49.93296142016064","49.93296142016064"
"992","132.31208077170294","132.31208077170294","132.31208077170294","18.331862326906954","18.331862326906954","18.331862326906954","47.56711917058702","47.56711917058702","47.56711917058702"
"993","134.65409038254703","134.65409038254703","134.65409038254703","18.324515839297227","18.324515839297227","18.324515839297227","47.56716651713984","47.56716651713984","47.56716651713984"
"994","134.64033346727166","134.64033346727166","134.64033346727166","19.360574981058804","19.360574981058804","19.360574981058804","47.56771660539343","47.56771660539343","47.56771660539343"
"995","134.64054173993665","134.64054173993665","134.64054173993665","20.30829701401341","20.30829701401341","20.30829701401341","45.34036082318872","45.34036082318872","45.34036082318872"
"996","136.86429236122737","136.86429236122737","136.86429236122737","20.15648309965494","20.15648309965494","20.15648309965494","45.347488086753856","45.347488086753856","45.347488086753856"
"997","138.8108004752678","138.8108004752678","138.8108004752678","20.369484475483194","20.369484475483194","20.369484475483194","43.1109856041899","43.1109856041899","43.1109856041899"
"998","141.02481492929678","141.02481492929678","141.02481492929678","20.039300729331625","20.039300729331625","20.039300729331625","45.4605360309946","45.4605360309946","45.4605360309946"
"999","143.3059037376598","143.3059037376598","143.3059037376598","20.921905615930687","20.921905615930687","20.921905615930687","47.69877505615036","47.69877505615036","47.69877505615036"
"1000","141.03710390351966","141.03710390351966","141.03710390351966","20.49847617534359","20.49847617534359","20.49847617534359","47.71751473793435","47.71751473793435","47.71751473793435"
"1001","138.6814159465287","138.6814159465287","138.6814159465287","21.284959311304593","21.284959311304593","21.284959311304593","45.353204953340835","45.353204953340835","45.353204953340835"
"1002","138.24228257556206","138.24228257556206","138.24228257556206","20.94020342377671","20.94020342377671","20.94020342377671","47.55961580029814","47.55961580029814","47.55961580029814"
"1003","135.82538366212717","135.82538366212717","135.82538366212717","21.77092684054601","21.77092684054601","21.77092684054601","47.557418482507785","47.557418482507785","47.557418482507785"
"1004","135.78062872620717","135.78062872620717","135.78062872620717","22.275624321796077","22.275624321796077","22.275624321796077","49.91335011064026","49.91335011064026","49.91335011064026"
"1005","138.08224126796523","138.08224126796523","138.08224126796523","21.88558054073901","21.88558054073901","21.88558054073901","49.89994589408136","49.89994589408136","49.89994589408136"
"1006","135.80304607506665","135.80304607506665","135.80304607506665","22.909963148003513","22.909963148003513","22.909963148003513","47.656929614474805","47.656929614474805","47.656929614474805"
"1007","133.81976171795736","133.81976171795736","133.81976171795736","21.721229108502293","21.721229108502293","21.721229108502293","47.62970146617781","47.62970146617781","47.62970146617781"
"1009","136.04947676677673","136.04947676677673","136.04947676677673","21.718275828056367","21.718275828056367","21.718275828056367","49.982242349442046","49.982242349442046","49.982242349442046"
"1010","136.0924372373111","136.0924372373111","136.0924372373111","22.842776020025564","22.842776020025564","22.842776020025564","47.63819093369436","47.63819093369436","47.63819093369436"
"1011","133.73731382223258","133.73731382223258","133.73731382223258","23.59451966846244","23.59451966846244","23.59451966846244","47.6507909033995","47.6507909033995","47.6507909033995"
"1012","135.76804674400765","135.76804674400765","135.76804674400765","23.529013654804103","23.529013654804103","23.529013654804103","47.64038433532391","47.64038433532391","47.64038433532391"
"1013","135.80127005963402","135.80127005963402","135.80127005963402","23.50092500454743","23.50092500454743","23.50092500454743","45.29787989227962","45.29787989227962","45.29787989227962"
"1014","135.75670359752522","135.75670359752522","135.75670359752522","24.59903272141274","24.59903272141274","24.59903272141274","45.29281052796546","45.29281052796546","45.29281052796546"
"1015","137.90235582401496","137.90235582401496","137.90235582401496","24.019269470324048","24.019269470324048","24.019269470324048","45.29089385548128","45.29089385548128","45.29089385548128"
"1016","135.59623377409636","135.59623377409636","135.59623377409636","24.411498054688394","24.411498054688394","24.411498054688394","45.297567761603595","45.297567761603595","45.297567761603595"
"1017","135.551150711832","135.551150711832","135.551150711832","23.422846002109747","23.422846002109747","23.422846002109747","47.664169089549425","47.664169089549425","47.664169089549425"
"1018","137.85502844755013","137.85502844755013","137.85502844755013","22.566943737699848","22.566943737699848","22.566943737699848","45.30926372738508","45.30926372738508","45.30926372738508"
"1019","139.8923142072085","139.8923142072085","139.8923142072085","21.38340846204895","21.38340846204895","21.38340846204895","45.308194797994666","45.308194797994666","45.308194797994666"
"1020","139.94225556493785","139.94225556493785","139.94225556493785","21.36023939222004","21.36023939222004","21.36023939222004","45.32336396218547","45.32336396218547","45.32336396218547"
"1021","137.64556167502934","137.64556167502934","137.64556167502934","21.328374828249295","21.328374828249295","21.328374828249295","45.32649189972452","45.32649189972452","45.32649189972452"
"1022","135.53950754641156","135.53950754641156","135.53950754641156","21.23803779758879","21.23803779758879","21.23803779758879","45.4731708644234","45.4731708644234","45.4731708644234"
"1023","135.49206442381129","135.49206442381129","135.49206442381129","21.869049923567278","21.869049923567278","21.869049923567278","43.136237930272266","43.136237930272266","43.136237930272266"
"1024","137.76891261181044","137.76891261181044","137.76891261181044","21.685707146958055","21.685707146958055","21.685707146958055","43.13778882463077","43.13778882463077","43.13778882463077"
"1025","137.7703398697278","137.7703398697278","137.7703398697278","22.908381273601517","22.908381273601517","22.908381273601517","40.77684435091733","40.77684435091733","40.77684435091733"
"1026","137.7698043821965","137.7698043821965","137.7698043821965","22.839330350004424","22.839330350004424","22.839330350004424","38.41353299376593","38.41353299376593","38.41353299376593"
"1027","137.76094889099804","137.76094889099804","137.76094889099804","23.225334160215052","23.225334160215052","23.225334160215052","38.449155167585616","38.449155167585616","38.449155167585616"
"1028","137.7609571163809","137.7609571163809","137.7609571163809","22.460899877109032","22.460899877109032","22.460899877109032","38.44193104195305","38.44193104195305","38.44193104195305"
"1029","138.11488989569634","138.11488989569634","138.11488989569634","23.397119451682826","23.397119451682826","23.397119451682826","40.6640311781921","40.6640311781921","40.6640311781921"
"1030","138.21486691696657","138.21486691696657","138.21486691696657","23.392974884458898","23.392974884458898","23.392974884458898","40.66381238135851","40.66381238135851","40.66381238135851"
"1031","136.30712544739393","136.30712544739393","136.30712544739393","22.84852624721155","22.84852624721155","22.84852624721155","40.669723761009784","40.669723761009784","40.669723761009784"
"1032","136.2658949848982","136.2658949848982","136.2658949848982","22.84828097256643","22.84828097256643","22.84828097256643","40.68152190131475","40.68152190131475","40.68152190131475"
"1033","138.2327260101198","138.2327260101198","138.2327260101198","22.85551060893233","22.85551060893233","22.85551060893233","40.67889443683892","40.67889443683892","40.67889443683892"
"1034","140.55374112919432","140.55374112919432","140.55374112919432","22.916398757163243","22.916398757163243","22.916398757163243","40.702051067232986","40.702051067232986","40.702051067232986"
"1035","142.36514348577478","142.36514348577478","142.36514348577478","21.989602334581193","21.989602334581193","21.989602334581193","40.70962794477639","40.70962794477639","40.70962794477639"
"1036","140.10206067847457","140.10206067847457","140.10206067847457","22.300030866303306","22.300030866303306","22.300030866303306","43.06796196711928","43.06796196711928","43.06796196711928"
"1037","140.05559636876092","140.05559636876092","140.05559636876092","23.0330817321488","23.0330817321488","23.0330817321488","43.0661668539021","43.0661668539021","43.0661668539021"
"1038","140.10176047360721","140.10176047360721","140.10176047360721","23.877040581169855","23.877040581169855","23.877040581169855","43.04868626432346","43.04868626432346","43.04868626432346"
"1039","140.06016644497325","140.06016644497325","140.06016644497325","24.712539033934828","24.712539033934828","24.712539033934828","43.045274327030754","43.045274327030754","43.045274327030754"
"1040","141.98018581607707","141.98018581607707","141.98018581607707","23.494272783059927","23.494272783059927","23.494272783059927","40.679224571548644","40.679224571548644","40.679224571548644"
"1041","139.79011345323084","139.79011345323084","139.79011345323084","23.451697281994267","23.451697281994267","23.451697281994267","40.66646365094127","40.66646365094127","40.66646365094127"
"1042","137.46901495312486","137.46901495312486","137.46901495312486","22.175772503386447","22.175772503386447","22.175772503386447","40.656297096090505","40.656297096090505","40.656297096090505"
"1043","135.2259607597191","135.2259607597191","135.2259607597191","23.422418251623053","23.422418251623053","23.422418251623053","40.411833473462956","40.411833473462956","40.411833473462956"
"1044","135.17930904667068","135.17930904667068","135.17930904667068","23.44382828555449","23.44382828555449","23.44382828555449","40.40726288779891","40.40726288779891","40.40726288779891"
"1045","135.21398253982807","135.21398253982807","135.21398253982807","23.360237245705925","23.360237245705925","23.360237245705925","40.434071639241395","40.434071639241395","40.434071639241395"
"1046","133.2273334376922","133.2273334376922","133.2273334376922","23.64052469607676","23.64052469607676","23.64052469607676","40.42568406144909","40.42568406144909","40.42568406144909"
"1047","133.23361261644354","133.23361261644354","133.23361261644354","24.777935498220067","24.777935498220067","24.777935498220067","40.43054929715281","40.43054929715281","40.43054929715281"
"1048","133.23363632326087","133.23363632326087","133.23363632326087","25.666602265144185","25.666602265144185","25.666602265144185","40.43722443064148","40.43722443064148","40.43722443064148"
"1049","131.31429227340257","131.31429227340257","131.31429227340257","25.827629337365938","25.827629337365938","25.827629337365938","40.43765890234572","40.43765890234572","40.43765890234572"
"1050","129.07680478177951","129.07680478177951","129.07680478177951","25.07362387731775","25.07362387731775","25.07362387731775","40.43212260188163","40.43212260188163","40.43212260188163"
"1051","126.84511688406823","126.84511688406823","126.84511688406823","24.138473780855474","24.138473780855474","24.138473780855474","38.32663972821783","38.32663972821783","38.32663972821783"
"1052","126.7936503346973","126.7936503346973","126.7936503346973","23.670461840197266","23.670461840197266","23.670461840197266","38.317134738547146","38.317134738547146","38.317134738547146"
"1053","128.73802605155072","128.73802605155072","128.73802605155072","24.84707328399673","24.84707328399673","24.84707328399673","38.3164644154907","38.3164644154907","38.3164644154907"
"1054","126.83556379778624","126.83556379778624","126.83556379778624","25.74667374713274","25.74667374713274","25.74667374713274","40.68429284515164","40.68429284515164","40.68429284515164"
"1055","126.78436712285016","126.78436712285016","126.78436712285016","26.858936810926235","26.858936810926235","26.858936810926235","38.33156170759076","38.33156170759076","38.33156170759076"
"1056","126.83724367099008","126.83724367099008","126.83724367099008","26.757138055111774","26.757138055111774","26.757138055111774","38.35982478050536","38.35982478050536","38.35982478050536"
"1057","126.78350339297012","126.78350339297012","126.78350339297012","27.9735186185451","27.9735186185451","27.9735186185451","38.34181546509794","38.34181546509794","38.34181546509794"
"1058","129.01370192331885","129.01370192331885","129.01370192331885","28.91900990606644","28.91900990606644","28.91900990606644","40.742727984447356","40.742727984447356","40.742727984447356"
"1059","126.73360462109336","126.73360462109336","126.73360462109336","27.942342845574732","27.942342845574732","27.942342845574732","40.75130116816582","40.75130116816582","40.75130116816582"
"1060","123.86883987994378","123.86883987994378","123.86883987994378","27.22241120793261","27.22241120793261","27.22241120793261","40.78453272822098","40.78453272822098","40.78453272822098"
"1061","123.86221065916189","123.86221065916189","123.86221065916189","27.409202357161416","27.409202357161416","27.409202357161416","43.14418767899346","43.14418767899346","43.14418767899346"
"1062","123.86220139503413","123.86220139503413","123.86220139503413","27.699559903693103","27.699559903693103","27.699559903693103","43.1583263904273","43.1583263904273","43.1583263904273"
"1063","125.76569470959322","125.76569470959322","125.76569470959322","27.0342913435529","27.0342913435529","27.0342913435529","40.80263643478941","40.80263643478941","40.80263643478941"
"1064","127.68573345088126","127.68573345088126","127.68573345088126","27.947570762735246","27.947570762735246","27.947570762735246","40.82927213308581","40.82927213308581","40.82927213308581"
"1065","127.75433946302631","127.75433946302631","127.75433946302631","28.814951249905384","28.814951249905384","28.814951249905384","40.854236464458396","40.854236464458396","40.854236464458396"
"1066","125.44390841276783","125.44390841276783","125.44390841276783","28.59910057410008","28.59910057410008","28.59910057410008","40.85447350371303","40.85447350371303","40.85447350371303"
"1067","125.37926162776881","125.37926162776881","125.37926162776881","28.591043167968092","28.591043167968092","28.591043167968092","40.92879456241707","40.92879456241707","40.92879456241707"
"1068","127.66600804688807","127.66600804688807","127.66600804688807","29.339859189856483","29.339859189856483","29.339859189856483","40.92221756933316","40.92221756933316","40.92221756933316"
"1069","125.4648724809568","125.4648724809568","125.4648724809568","30.423563290618603","30.423563290618603","30.423563290618603","40.91896347062694","40.91896347062694","40.91896347062694"
"1070","125.40061268990965","125.40061268990965","125.40061268990965","30.22897926618269","30.22897926618269","30.22897926618269","40.91711553246619","40.91711553246619","40.91711553246619"
"1071","125.45839138501903","125.45839138501903","125.45839138501903","31.186981511072894","31.186981511072894","31.186981511072894","43.147169505393","43.147169505393","43.147169505393"
"1072","123.31749283076962","123.31749283076962","123.31749283076962","31.16393235990833","31.16393235990833","31.16393235990833","43.14666876439011","43.14666876439011","43.14666876439011"
"1073","121.10103542768614","121.10103542768614","121.10103542768614","31.142286903540036","31.142286903540036","31.142286903540036","43.150555763434795","43.150555763434795","43.150555763434795"
"1074","120.25323425716638","120.25323425716638","120.25323425716638","31.13057268318491","31.13057268318491","31.13057268318491","45.47206696140275","45.47206696140275","45.47206696140275"
"1075","118.4182408538259","118.4182408538259","118.4182408538259","29.98607537506744","29.98607537506744","29.98607537506744","43.12586404651682","43.12586404651682","43.12586404651682"
"1076","116.08656860679108","116.08656860679108","116.08656860679108","29.713769865647354","29.713769865647354","29.713769865647354","43.116819457468644","43.116819457468644","43.116819457468644"
"1077","114.05149761406773","114.05149761406773","114.05149761406773","28.57991342943715","28.57991342943715","28.57991342943715","43.1207218866643","43.1207218866643","43.1207218866643"
"1078","113.97581163885806","113.97581163885806","113.97581163885806","28.51574977174797","28.51574977174797","28.51574977174797","45.480856817254406","45.480856817254406","45.480856817254406"
"1079","114.0328836385176","114.0328836385176","114.0328836385176","28.202110718764533","28.202110718764533","28.202110718764533","45.490394586225506","45.490394586225506","45.490394586225506"
"1080","111.83076328222954","111.83076328222954","111.83076328222954","28.165104366824792","28.165104366824792","28.165104366824792","47.82933771409191","47.82933771409191","47.82933771409191"
"1081","114.10280963096791","114.10280963096791","114.10280963096791","28.883644519940304","28.883644519940304","28.883644519940304","50.18211391253697","50.18211391253697","50.18211391253697"
"1082","115.95895717086685","115.95895717086685","115.95895717086685","29.85687103774803","29.85687103774803","29.85687103774803","47.84040815406328","47.84040815406328","47.84040815406328"
"1083","115.94632995624761","115.94632995624761","115.94632995624761","29.81117055698463","29.81117055698463","29.81117055698463","47.83236443357946","47.83236443357946","47.83236443357946"
"1084","115.94674486020023","115.94674486020023","115.94674486020023","29.742067839378933","29.742067839378933","29.742067839378933","47.82511190940578","47.82511190940578","47.82511190940578"
