"Step","8agents_0highspeed - Training_Reward_Mean","8agents_0highspeed - Training_Reward_Mean__MIN","8agents_0highspeed - Training_Reward_Mean__MAX","8agents_0incentive - Training_Reward_Mean","8agents_0incentive - Training_Reward_Mean__MIN","8agents_0incentive - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"23","-22.88188633003013","-22.88188633003013","-22.88188633003013","-31.715009781002994","-31.715009781002994","-31.715009781002994","-145.9837124848617","-145.9837124848617","-145.9837124848617"
"24","-23.4374521291963","-23.4374521291963","-23.4374521291963","-32.113222773567294","-32.113222773567294","-32.113222773567294","-146.81078542689303","-146.81078542689303","-146.81078542689303"
"25","-23.356869945038326","-23.356869945038326","-23.356869945038326","-32.21696145794017","-32.21696145794017","-32.21696145794017","-148.32933934962978","-148.32933934962978","-148.32933934962978"
"26","-23.887940256504944","-23.887940256504944","-23.887940256504944","-32.59344122789076","-32.59344122789076","-32.59344122789076","-149.78849358972172","-149.78849358972172","-149.78849358972172"
"27","-24.068779711268437","-24.068779711268437","-24.068779711268437","-32.64774882200633","-32.64774882200633","-32.64774882200633","-140.2199570580194","-140.2199570580194","-140.2199570580194"
"28","-24.342804158955268","-24.342804158955268","-24.342804158955268","-32.920478168799356","-32.920478168799356","-32.920478168799356","-140.59484151094247","-140.59484151094247","-140.59484151094247"
"29","-23.365452873245808","-23.365452873245808","-23.365452873245808","-32.82533886153845","-32.82533886153845","-32.82533886153845","-140.2523102264401","-140.2523102264401","-140.2523102264401"
"30","-23.808933304152465","-23.808933304152465","-23.808933304152465","-33.122185829086234","-33.122185829086234","-33.122185829086234","-140.25380636168393","-140.25380636168393","-140.25380636168393"
"31","-23.16912297447445","-23.16912297447445","-23.16912297447445","-33.38729143324066","-33.38729143324066","-33.38729143324066","-132.08660696440745","-132.08660696440745","-132.08660696440745"
"32","-23.540679750207005","-23.540679750207005","-23.540679750207005","-33.58506304560808","-33.58506304560808","-33.58506304560808","-133.58418891421084","-133.58418891421084","-133.58418891421084"
"33","-23.462125592119797","-23.462125592119797","-23.462125592119797","-33.826095647579805","-33.826095647579805","-33.826095647579805","-125.47640567899646","-125.47640567899646","-125.47640567899646"
"34","-23.601761909630355","-23.601761909630355","-23.601761909630355","-33.90561196905582","-33.90561196905582","-33.90561196905582","-118.3036035964611","-118.3036035964611","-118.3036035964611"
